,STATE,ST_CASE,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,WEATHER,DRUNK_DR
111,Alabama,10113,73,0,4,4,2015,Saturday,20,15,Clear,0
112,Alabama,10114,3,860,1,4,2015,Wednesday,22,49,Clear,1
113,Alabama,10115,127,0,27,3,2015,Friday,23,28,Cloudy,0
114,Alabama,10116,35,0,14,3,2015,Saturday,21,7,Clear,0
115,Alabama,10117,3,0,11,3,2015,Wednesday,19,30,Cloudy,0
116,Alabama,10118,103,890,8,3,2015,Sunday,4,34,Clear,1
117,Alabama,10119,125,0,1,3,2015,Sunday,20,5,Cloudy,0
118,Alabama,10120,115,160,3,3,2015,Tuesday,13,27,Cloudy,0
119,Alabama,10121,51,3270,8,3,2015,Sunday,14,15,Clear,0
120,Alabama,10122,1,0,10,3,2015,Tuesday,11,50,Cloudy,0
121,Alabama,10123,43,0,16,3,2015,Monday,7,55,Clear,0
122,Alabama,10124,89,1970,16,3,2015,Monday,10,4,Clear,0
123,Alabama,10125,113,0,17,3,2015,Tuesday,15,6,Clear,0
124,Alabama,10126,31,0,19,3,2015,Thursday,12,0,Clear,0
125,Alabama,10127,31,0,20,3,2015,Friday,21,30,Cloudy,0
126,Alabama,10128,63,1213,20,3,2015,Friday,21,45,Clear,0
127,Alabama,10129,49,2564,24,3,2015,Tuesday,7,15,Clear,0
128,Alabama,10130,97,2100,24,3,2015,Tuesday,8,20,Cloudy,0
129,Alabama,10131,93,0,24,3,2015,Tuesday,19,40,Clear,0
130,Alabama,10132,89,1970,26,3,2015,Thursday,4,36,Clear,0
131,Alabama,10133,97,0,26,3,2015,Thursday,8,25,Cloudy,0
132,Alabama,10134,55,0,27,3,2015,Friday,23,35,Cloudy,0
133,Alabama,10135,15,0,27,3,2015,Friday,21,45,Cloudy,1
134,Alabama,10136,125,0,28,3,2015,Saturday,4,45,Clear,1
135,Alabama,10137,73,350,30,3,2015,Monday,19,15,Clear,0
136,Alabama,10138,55,2822,3,4,2015,Friday,19,50,Clear,0
137,Alabama,10139,43,830,3,4,2015,Friday,11,29,Cloudy,0
138,Alabama,10140,117,0,4,4,2015,Saturday,18,30,Clear,1
139,Alabama,10141,53,0,2,4,2015,Thursday,16,50,Clear,0
140,Alabama,10142,69,0,21,3,2015,Saturday,20,15,Clear,1
141,Alabama,10143,101,2130,23,3,2015,Monday,0,38,Clear,2
142,Alabama,10144,101,2130,24,3,2015,Tuesday,19,48,Clear,1
143,Alabama,10145,55,1280,24,3,2015,Tuesday,20,0,Clear,0
144,Alabama,10146,49,2564,28,3,2015,Saturday,20,4,Clear,1
145,Alabama,10147,25,0,1,4,2015,Wednesday,16,43,Clear,0
146,Alabama,10148,71,0,3,4,2015,Friday,8,50,Clear,0
147,Alabama,10149,77,0,3,4,2015,Friday,19,5,Cloudy,1
148,Alabama,10150,71,0,5,4,2015,Sunday,11,40,Clear,0
149,Alabama,10151,11,0,4,4,2015,Saturday,15,0,Clear,1
150,Alabama,10152,125,0,6,4,2015,Monday,6,25,Cloudy,0
151,Alabama,10153,51,3270,6,4,2015,Monday,17,25,Rain,0
152,Alabama,10154,73,0,16,2,2015,Monday,11,45,Rain,0
153,Alabama,10155,73,350,30,3,2015,Monday,20,50,Clear,0
154,Alabama,10156,97,2716,17,4,2015,Friday,13,42,Clear,0
155,Alabama,10157,101,2130,27,3,2015,Friday,5,20,Clear,0
156,Alabama,10158,73,0,6,4,2015,Monday,17,22,Rain,0
157,Alabama,10159,127,2400,12,2,2015,Thursday,11,42,Clear,0
158,Alabama,10160,73,330,14,3,2015,Saturday,22,9,Clear,0
159,Alabama,10161,109,3040,30,3,2015,Monday,15,27,Clear,0
160,Alabama,10162,113,2440,2,4,2015,Thursday,6,5,Clear,0
161,Alabama,10163,101,2130,4,4,2015,Saturday,5,50,Cloudy,0
162,Alabama,10164,53,0,6,4,2015,Monday,14,35,Clear,0
163,Alabama,10165,43,0,6,4,2015,Monday,14,20,Rain,0
