STATE,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,"2,687,349 ","2,796,862 ","3,117,218 ","3,357,522 ","3,556,395 ","3,733,127 ","3,874,834 ","4,009,296 ","4,110,866 ","4,168,370 ","4,281,850 ","4,352,168 "," 4,690,587 ","4,880,958 ","5,100,783 ","5,151,569 ","5,413,887 ","5,552,718 ","5,600,749 ","5,627,240 ","5,860,093 ","6,380,057 ","6,595,332 ","6,789,721 ","6,973,335 ","7,287,730 ","7,509,497 ","7,869,731 ","8,192,443 ","8,568,930 ","8,945,853 ","9,287,826 ","9,673,885 ","10,154,386 ","11,406,433 ","10,855,549 ","10,809,078 ","11,129,193 ","11,153,472 ","11,080,702 ","11,103,511 ","11,136,694 ","11,293,184 ","11,437,571 ","11,876,268 ","12,109,960 ","12,369,243 ","12,568,265 ","12,833,603 ","13,322,911 ","13,359,305 ","13,462,023 ","13,045,727 ","13,184,629 ","13,498,071 ","14,543,528 ","14,659,390 ","14,906,701 ","15,184,123 ","15,374,063 ","15,374,063 ","15,157,650 ","15,122,518 ","15,252,192 ","15,447,273 ","15,648,733 ","15,879,876 ","15,879,876 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,"284,571 ","318,526 ","338,472 ","343,904 ","359,395 ","373,888 ","396,291 ","416,291 ","413,099 ","427,591 ","458,723 ","482,331 "," 528,699 ","543,731 ","547,952 ","566,713 ","562,202 ","559,776 ","557,933 ","513,371 ","526,774 ","615,014 ","572,296 ","649,770 ","664,546 ","721,042 ","729,193 ","759,152 ","771,066 ","773,082 ","795,293 ","844,717 ","888,984 ","913,773 ","926,434 ","928,932 ","962,881 ","970,824 ","1,005,942 ","977,636 ","1,027,363 ","1,046,106 ","1,067,030 ","1,143,000 ","1,189,593 ","1,245,205 ","1,255,460 ","1,319,263 ","1,357,064 ","1,393,242 ","1,439,534 ","1,463,366 ","1,495,887 ","1,529,934 ","1,548,456 ","1,582,599 ","1,599,514 ","1,619,085 ","1,651,790 ","1,687,306 ","1,720,015 ","1,659,835 ","1,747,487 ","1,788,822 ","1,661,219 ","1,425,703 ","1,913,564 ","1,960,366 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,"140,063 ","145,000 ","145,340 ","151,642 ","154,884 ","156,789 ","160,237 ","165,197 ","167,981 ","171,424 ","176,861 ","179,196 "," 183,820 ","188,439 ","193,807 ","198,511 ","204,275 ","213,322 ","219,299 ","224,127 ","246,265 ","253,012 ","268,125 ","280,408 ","292,873 ","302,400 ","309,940 ","302,029 ","331,679 ","328,069 ","337,086 ","343,800 ","348,765 ","355,051 ","360,642 ","371,011 ","385,132 ","397,073 ","402,088 ","406,194 ","409,897 ","411,920 ","412,369 ","423,489 ","430,538 ","445,576 ","455,606 ","468,863 ","475,389 ","497,172 ","495,824 ","506,085 ","515,348 ","529,453 ","543,412 ","550,462 ","563,162 ","532,041 ","534,495 ","541,990 ","506,977 ","513,481 ","521,666 ","529,501 ","543,057 ","545,312 ","548,799 ","553,670 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,"1,044,782 ","1,173,989 ","1,210,477 ","1,313,222 ","1,400,787 ","1,459,561 ","1,540,751 ","1,630,245 ","1,678,973 ","1,725,524 ","1,792,242 ","1,827,232 "," 1,901,611 ","1,950,489 ","2,014,448 ","2,076,854 ","2,160,163 ","2,185,853 ","2,229,546 ","2,307,265 ","2,388,246 ","2,345,466 ","2,492,079 ","2,670,493 ","2,855,948 ","2,944,068 ","3,017,481 ","3,069,347 ","3,277,231 ","3,259,131 ","3,338,967 ","3,460,686 ","3,570,363 ","3,625,377 ","3,704,171 ","3,773,233 ","3,804,113 ","3,937,571 ","4,053,303 ","4,129,510 ","4,233,574 ","4,388,805 ","4,651,070 ","4,697,006 ","4,579,666 ","4,601,235 ","4,628,886 ","4,692,071 ","4,901,088 ","4,787,150 ","4,729,373 ","4,836,993 ","4,920,753 ","5,158,232 ","5,045,857 ","5,112,523 ","5,178,156 ","5,210,685 ","5,259,512 ","5,301,182 ","5,347,745 ","5,402,347 ","5,467,045 ","5,538,480 ","5,602,765 ","5,769,063 ","5,820,209 ","5,912,048 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,"1,138,851 ","1,484,736 ","1,048,749 ","1,130,533 ","1,169,699 ","1,211,206 ","1,251,083 ","1,232,603 ","1,278,812 ","1,317,971 ","1,404,738 ","1,422,149 "," 1,402,067 ","1,455,365 ","1,513,328 ","1,603,429 ","1,579,415 ","1,606,360 ","1,705,157 ","1,788,050 ","1,903,504 ","1,919,980 ","1,965,962 ","2,007,862 ","2,145,283 ","2,122,131 ","2,176,585 ","2,289,371 ","2,339,215 ","2,485,248 ","2,579,368 ","2,662,658 ","2,732,785 ","2,774,210 ","2,867,032 ","2,972,976 ","2,980,717 ","3,029,457 ","3,156,743 ","3,198,023 ","3,272,941 ","3,376,671 ","3,490,585 ","3,627,434 ","3,698,920 ","3,775,019 ","3,765,376 ","3,908,217 ","4,009,833 ","4,078,895 ","4,128,775 ","4,154,501 ","4,237,845 ","4,381,417 ","4,407,269 ","4,504,581 ","4,681,927 ","4,790,864 ","4,879,705 ","4,953,872 ","5,026,521 ","5,106,367 ","5,178,789 ","5,227,889 ","5,301,630 ","5,401,139 ","5,516,134 ","5,635,715 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,"644,417 ","682,601 ","691,136 ","738,974 ","768,091 ","789,410 ","808,438 ","819,932 ","830,853 ","885,679 ","808,462 ","832,974 "," 830,683 ","805,147 ","893,597 ","884,023 ","822,079 ","822,950 ","855,055 ","832,477 ","861,371 ","912,609 ","981,976 ","1,016,060 ","1,051,025 ","1,078,000 ","1,262,038 ","1,324,000 ","1,367,093 ","1,422,975 ","1,452,777 ","1,506,401 ","1,488,300 ","1,410,893 ","1,417,000 ","1,293,523 ","1,298,585 ","1,297,861 ","1,303,404 ","1,308,212 ","1,306,445 ","1,283,703 ","1,285,627 ","1,314,244 ","1,302,081 ","1,298,478 ","1,304,539 ","1,274,453 ","1,285,158 ","1,280,539 ","1,273,701 ","1,347,207 ","1,316,955 ","1,325,029 ","1,272,135 ","1,292,036 ","1,327,569 ","1,335,303 ","1,358,529 ","1,360,926 ","1,328,992 ","1,206,026 ","1,198,837 ","1,241,586 ","1,177,136 ","1,171,907 ","1,167,346 ","1,159,348 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,"1,758,013 ","1,682,978 ","1,676,477 ","1,619,646 ","1,687,976 ","1,730,776 ","1,731,150 ","1,772,700 ","1,866,650 ","1,849,185 ","1,893,795 ","1,862,512 "," 1,855,322 ","1,985,991 ","1,934,368 ","2,078,980 ","2,141,483 ","2,185,086 ","2,280,544 ","2,360,815 ","2,458,037 ","2,459,539 ","2,465,315 ","2,527,731 ","2,593,838 ","2,663,886 ","2,721,284 ","2,773,783 ","2,840,543 ","2,899,070 ","2,954,000 ","2,982,366 ","3,027,347 ","3,036,428 ","3,085,549 ","3,147,657 ","3,211,330 ","3,229,246 ","3,248,206 ","3,268,207 ","3,294,057 ","3,327,872 ","3,394,428 ","3,542,702 ","3,502,341 ","3,554,003 ","3,601,619 ","3,723,685 ","3,672,469 ","3,709,957 ","3,733,122 ","3,770,453 ","3,667,497 ","3,529,720 ","3,765,644 ","3,910,188 ","3,993,348 ","4,049,450 ","4,066,273 ","4,075,764 ","4,105,142 ","4,133,377 ","4,147,470 ","4,056,649 ","4,171,427 ","4,188,194 ","4,194,759 ","4,206,770 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,"197,118 ","182,632 ","186,021 ","196,625 ","196,931 ","208,187 ","215,122 ","215,396 ","200,086 ","204,485 ","202,678 ","211,536 "," 219,999 ","216,174 ","226,438 ","224,944 ","223,118 ","221,383 ","220,926 ","215,715 ","222,214 ","229,067 ","232,429 ","217,251 ","224,097 ","257,462 ","280,057 ","300,436 ","309,275 ","319,049 ","329,731 ","346,250 ","362,767 ","397,788 ","394,041 ","359,976 ","331,850 ","326,007 ","339,150 ","348,946 ","333,493 ","333,546 ","341,023 ","342,960 ","350,074 ","341,706 ","346,299 ","343,093 ","352,770 ","359,158 ","363,471 ","370,740 ","370,713 ","303,357 ","378,009 ","380,180 ","382,735 ","390,538 ","398,283 ","404,489 ","410,813 ","419,466 ","421,928 ","421,580 ","421,473 ","423,987 ","422,450 ","421,098 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Total,"59,322,278 ","62,193,495 ","64,443,781 ","66,825,829 ","69,869,781 ","71,897,089 ","74,685,949 ","77,658,826 ","79,630,680 ","81,536,726 ","84,498,191 ","87,252,563 "," 88,744,198 ","90,588,324 ","93,572,980 ","95,467,537 ","98,502,152 ","100,998,471 ","103,171,641 ","105,410,150 ","108,306,080 ","111,542,787 ","114,425,900 ","118,414,474 ","121,545,736 ","125,426,582 ","129,790,666 ","134,035,641 ","138,120,893 ","140,843,907 ","143,283,995 ","145,295,036 ","147,075,169 ","150,233,659 ","154,389,178 ","155,423,709 ","156,868,277 ","159,487,000 ","161,818,461 ","162,853,255 ","165,555,295 ","167,015,250 ","168,995,076 ","173,125,396 ","173,149,313 ","175,403,465 ","176,628,482 ","179,539,340 ","182,709,204 ","184,980,177 ","187,170,420 ","190,625,023 ","191,275,719 ","194,295,633 ","196,165,667 ","198,888,912 ","200,548,972 ","202,810,438 ","205,741,845 "," 208,320,601 ","209,618,386 "," 210,114,939 "," 211,874,649 "," 211,814,830 "," 212,159,728 "," 214,092,472 "," 218,084,465 "," 221,711,918 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Source:  Highway Statistics, various years, Table DL-1C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1/ The data in this table were obtained chiefly from State authorities. Where data are not available, estimates were made by the Federal Highway Administration.  Total licensed drivers represents the total of male and female drivers. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/ Alaska and Hawaii became States in 1959; data for Hawaii was not captured prior to 1960.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
