,ST_CASE,HOUR,MINUTE,TIME
8026,122168,16,5,965
8027,122169,19,25,1165
8028,122170,7,32,452
8029,122171,16,25,985
8030,122172,23,0,1380
8031,122173,23,44,1424
8032,122174,23,15,1395
8033,122175,22,32,1352
8034,122176,18,25,1105
8035,122177,19,40,1180
8036,122178,17,53,1073
8037,122179,23,25,1405
8038,122180,7,0,420
8039,122181,19,17,1157
8040,122182,2,30,150
8041,122183,17,10,1030
8042,122184,8,5,485
8043,122185,16,19,979
8044,122186,1,30,90
8045,122187,16,45,1005
8046,122188,10,42,642
8047,122190,8,3,483
8048,122191,0,13,13
8049,122193,17,54,1074
8050,122194,20,47,1247
8051,122195,22,34,1354
8052,122196,3,15,195
8053,122197,20,25,1225
8054,122198,11,5,665
8055,122199,15,17,917
8056,122200,17,21,1041
8057,122201,3,5,185
8058,122202,4,0,240
8059,122203,13,50,830
8060,122204,17,58,1078
8061,122205,21,55,1315
8062,122206,1,5,65
8063,122207,23,12,1392
8064,122208,23,39,1419
8065,122209,16,35,995
8066,122210,22,40,1360
8067,122211,15,47,947
8068,122212,19,25,1165
8069,122213,5,30,330
8070,122214,20,33,1233
8071,122215,18,43,1123
8072,122216,17,52,1072
8073,122217,18,31,1111
8074,122218,6,18,378
8075,122220,15,50,950
8076,122221,10,16,616
8077,122222,1,40,100
8078,122223,18,37,1117
8079,122224,19,16,1156
8080,122225,3,45,225
8081,122226,10,0,600
8082,122227,19,36,1176
8083,122228,0,27,27
8084,122229,22,16,1336
8085,122230,23,28,1408
8086,122231,12,13,733
8087,122232,19,50,1190
8088,122233,20,45,1245
8089,122234,21,57,1317
8090,122235,18,6,1086
8091,122236,20,45,1245
8092,122237,13,54,834
8093,122238,20,35,1235
8094,122239,4,0,240
8095,122240,4,5,245
8096,122241,15,35,935
8097,122242,17,33,1053
8098,122243,22,46,1366
8099,122244,18,18,1098
8100,122245,15,27,927
8101,122246,16,41,1001
8102,122247,17,20,1040
8103,122248,18,13,1093
8104,122249,17,0,1020
8105,122250,0,54,54
8106,122251,18,10,1090
8107,122252,17,11,1031
8108,122253,17,4,1024
8109,122254,8,20,500
8110,122255,21,26,1286
8111,122256,14,56,896
8112,122257,18,8,1088
8113,122258,19,20,1160
8114,122259,21,44,1304
8115,122260,22,40,1360
8116,122261,1,4,64
8117,122262,15,50,950
8118,122263,19,41,1181
8119,122264,2,15,135
8120,122265,3,38,218
8121,122266,4,41,281
8122,122267,7,35,455
8123,122268,19,50,1190
8124,122269,21,33,1293
8125,122270,19,15,1155
8126,122271,20,15,1215
8127,122272,18,33,1113
8128,122273,16,6,966
8129,122274,23,40,1420
8130,122275,14,7,847
8131,122276,12,44,764
8132,122277,8,35,515
8133,122278,3,50,230
8134,122279,5,10,310
8135,122280,3,7,187
8136,122281,5,40,340
8137,122282,23,29,1409
8138,122283,14,20,860
8139,122284,18,37,1117
8140,122285,19,50,1190
8141,122286,10,37,637
8142,122287,20,4,1204
8143,122288,21,38,1298
8144,122290,19,54,1194
8145,122291,6,2,362
8146,122292,22,0,1320
8147,122293,21,14,1274
8148,122294,16,18,978
8149,122295,17,6,1026
8150,122297,18,5,1085
8151,122298,21,28,1288
8152,122299,19,36,1176
8153,122300,18,42,1122
8154,122301,17,0,1020
8155,122302,19,34,1174
8156,122303,15,50,950
8157,122304,13,5,785
8158,122305,6,34,394
8159,122306,23,20,1400
8160,122307,0,14,14
8161,122308,20,0,1200
8162,122309,3,24,204
8163,122310,21,40,1300
8164,122311,9,8,548
8165,122312,6,45,405
8166,122313,0,43,43
8167,122314,15,30,930
8168,122315,15,15,915
8169,122316,18,28,1108
8170,122317,0,18,18
8171,122318,15,35,935
8172,122319,19,16,1156
8173,122320,14,25,865
8174,122321,0,38,38
8175,122322,0,48,48
8176,122323,20,51,1251
8177,122324,21,40,1300
8178,122325,7,38,458
8179,122326,12,56,776
8180,122327,5,22,322
8181,122328,2,0,120
8182,122329,19,50,1190
8183,122331,19,17,1157
8184,122332,11,15,675
8185,122333,11,25,685
8186,122334,18,40,1120
8187,122335,19,17,1157
8188,122336,11,5,665
8189,122337,18,40,1120
8190,122338,19,5,1145
8191,122339,19,43,1183
8192,122340,17,10,1030
8193,122341,12,5,725
8194,122342,2,0,120
8195,122344,20,7,1207
8196,122345,17,35,1055
8197,122346,20,23,1223
8198,122347,6,17,377
8199,122348,16,40,1000
8200,122349,11,38,698
8201,122350,21,15,1275
8202,122351,18,1,1081
8203,122352,13,15,795
8204,122353,10,8,608
8205,122354,7,17,437
8206,122355,15,11,911
8207,122356,17,0,1020
8208,122358,19,9,1149
8209,122359,99,99,6039
8210,122360,15,36,936
8211,122361,0,58,58
8212,122362,16,20,980
8213,122363,7,30,450
8214,122365,6,25,385
8215,122366,19,9,1149
8216,122367,23,1,1381
8217,122368,18,10,1090
8218,122369,15,47,947
8219,122370,19,0,1140
8220,122371,20,11,1211
8221,122372,13,35,815
8222,122373,15,45,945
8223,122374,20,2,1202
8224,122375,16,45,1005
8225,122376,18,4,1084
8226,122377,16,27,987
8227,122378,19,5,1145
8228,122379,11,2,662
8229,122380,3,0,180
8230,122381,15,1,901
8231,122382,21,55,1315
8232,122383,11,43,703
8233,122384,16,43,1003
8234,122385,3,8,188
8235,122386,1,45,105
8236,122387,22,11,1331
8237,122388,13,20,800
8238,122389,7,53,473
8239,122390,20,0,1200
8240,122392,8,55,535
8241,122393,15,50,950
8242,122394,0,0,0
8243,122395,7,15,435
8244,122396,13,50,830
8245,122397,16,28,988
8246,122398,18,27,1107
8247,122399,5,43,343
8248,122400,20,35,1235
8249,122401,8,30,510
8250,122402,21,29,1289
8251,122404,17,2,1022
8252,122405,20,48,1248
8253,122406,11,53,713
8254,122407,21,20,1280
8255,122408,22,8,1328
8256,122409,17,43,1063
8257,122410,5,54,354
8258,122411,22,47,1367
8259,122412,8,31,511
8260,122413,18,9,1089
8261,122414,18,45,1125
8262,122415,8,35,515
8263,122416,18,38,1118
8264,122417,14,42,882
8265,122418,17,0,1020
8266,122419,15,31,931
8267,122420,15,40,940
8268,122421,13,30,810
8269,122422,23,28,1408
8270,122423,14,6,846
8271,122424,3,20,200
8272,122425,2,15,135
8273,122426,6,40,400
8274,122427,20,22,1222
8275,122428,7,50,470
8276,122429,7,53,473
8277,122430,12,50,770
8278,122431,13,35,815
8279,122432,2,12,132
8280,122433,22,50,1370
8281,122434,17,52,1072
8282,122435,0,14,14
8283,122436,0,1,1
8284,122437,20,35,1235
8285,122438,23,20,1400
8286,122439,10,9,609
8287,122440,6,42,402
8288,122441,3,10,190
8289,122442,0,25,25
8290,122443,19,40,1180
8291,122444,9,41,581
8292,122445,1,45,105
8293,122446,17,53,1073
8294,122447,1,10,70
8295,122448,17,46,1066
8296,122449,18,4,1084
8297,122450,0,43,43
8298,122451,18,10,1090
8299,122452,12,41,761
8300,122453,18,5,1085
8301,122454,0,34,34
8302,122455,23,1,1381
8303,122456,19,50,1190
8304,122457,13,30,810
8305,122458,19,0,1140
8306,122459,20,54,1254
8307,122460,1,30,90
8308,122461,22,46,1366
8309,122462,7,58,478
8310,122463,2,7,127
8311,122464,11,50,710
8312,122465,18,55,1135
8313,122466,18,17,1097
8314,122467,6,30,390
8315,122468,13,5,785
8316,122469,22,40,1360
8317,122470,5,42,342
8318,122471,17,8,1028
8319,122472,0,23,23
8320,122473,6,35,395
8321,122474,0,56,56
8322,122475,17,5,1025
8323,122476,18,46,1126
8324,122477,8,25,505
8325,122478,12,38,758
8326,122479,9,0,540
8327,122480,20,37,1237
8328,122481,18,28,1108
8329,122482,18,29,1109
8330,122483,13,3,783
8331,122484,9,55,595
8332,122485,23,55,1435
8333,122486,22,1,1321
8334,122487,21,47,1307
8335,122488,18,6,1086
8336,122489,6,40,400
8337,122490,2,40,160
8338,122491,14,21,861
8339,122492,18,20,1100
8340,122493,21,58,1318
8341,122494,21,9,1269
8342,122495,14,38,878
8343,122496,18,41,1121
8344,122497,18,30,1110
8345,122498,21,27,1287
8346,122499,18,37,1117
8347,122500,15,40,940
8348,122501,1,55,115
8349,122502,19,2,1142
8350,122503,0,35,35
8351,122504,3,45,225
8352,122505,19,13,1153
8353,122506,7,10,430
8354,122507,17,55,1075
8355,122508,5,22,322
8356,122509,4,11,251
8357,122510,21,20,1280
8358,122511,20,10,1210
8359,122512,6,16,376
8360,122513,12,21,741
8361,122514,21,20,1280
8362,122515,10,41,641
8363,122516,19,40,1180
8364,122517,14,8,848
8365,122518,15,25,925
8366,122519,17,7,1027
8367,122520,0,30,30
8368,122521,18,5,1085
8369,122522,3,15,195
8370,122523,5,38,338
8371,122524,21,47,1307
8372,122525,21,7,1267
8373,122526,16,3,963
8374,122527,22,34,1354
8375,122528,18,33,1113
8376,122529,3,25,205
8377,122530,21,17,1277
8378,122531,18,11,1091
8379,122532,12,0,720
8380,122533,7,52,472
8381,122534,11,50,710
8382,122535,16,5,965
8383,122536,19,5,1145
8384,122537,5,30,330
8385,122538,0,30,30
8386,122539,19,14,1154
8387,122540,23,30,1410
8388,122541,11,29,689
8389,122542,14,57,897
8390,122543,15,42,942
8391,122544,21,4,1264
8392,122545,1,21,81
8393,122546,1,11,71
8394,122547,23,40,1420
8395,122548,18,59,1139
8396,122549,0,14,14
8397,122550,11,28,688
8398,122551,20,17,1217
8399,122552,16,45,1005
8400,122553,0,4,4
8401,122554,19,25,1165
8402,122555,19,45,1185
8403,122556,18,20,1100
8404,122557,0,10,10
8405,122558,18,15,1095
8406,122559,18,50,1130
8407,122560,18,11,1091
8408,122561,3,13,193
8409,122562,3,45,225
8410,122563,15,35,935
8411,122564,3,26,206
8412,122565,18,50,1130
8413,122566,6,13,373
8414,122567,17,35,1055
8415,122568,6,12,372
8416,122569,18,30,1110
8417,122570,14,50,890
8418,122571,19,25,1165
8419,122572,20,34,1234
8420,122573,2,49,169
8421,122574,21,5,1265
8422,122575,18,5,1085
8423,122576,10,1,601
8424,122577,10,36,636
8425,122578,5,40,340
8426,122579,0,50,50
8427,122580,19,33,1173
8428,122581,21,5,1265
8429,122582,19,35,1175
8430,122583,7,35,455
8431,122584,21,37,1297
8432,122585,4,40,280
8433,122586,6,34,394
8434,122587,19,47,1187
8435,122588,20,30,1230
8436,122589,17,41,1061
8437,122590,20,4,1204
8438,122591,9,25,565
8439,122592,18,15,1095
8440,122593,5,39,339
8441,122594,15,30,930
8442,122595,17,40,1060
8443,122597,17,45,1065
8444,122598,16,46,1006
8445,122599,17,30,1050
8446,122600,12,15,735
8447,122601,20,30,1230
8448,122602,22,20,1340
8449,122603,20,51,1251
8450,122604,21,0,1260
8451,122605,7,35,455
8452,122606,18,32,1112
8453,122607,19,48,1188
8454,122608,16,57,1017
8455,122609,1,52,112
8456,122610,7,20,440
8457,122611,11,14,674
8458,122612,0,45,45
8459,122613,19,58,1198
8460,122614,22,55,1375
8461,122615,19,33,1173
8462,122616,18,9,1089
8463,122617,12,2,722
8464,122618,23,25,1405
8465,122619,7,14,434
8466,122620,13,46,826
8467,122621,6,50,410
8468,122622,20,55,1255
8469,122623,12,30,750
8470,122624,0,27,27
8471,122625,1,28,88
8472,122626,5,36,336
8473,122627,13,29,809
8474,122628,11,40,700
8475,122629,21,18,1278
8476,122630,19,0,1140
8477,122631,22,40,1360
8478,122632,11,39,699
8479,122633,14,0,840
8480,122634,21,30,1290
8481,122635,15,38,938
8482,122636,17,45,1065
8483,122637,2,30,150
8484,122638,19,16,1156
8485,122639,0,0,0
8486,122640,20,28,1228
8487,122641,21,14,1274
