,ST_CASE,HOUR,MINUTE,TIME
8488,122642,21,28,1288
8489,122643,6,20,380
8490,122644,4,39,279
8491,122645,12,0,720
8492,122646,17,35,1055
8493,122647,0,53,53
8494,122648,16,11,971
8495,122649,19,49,1189
8496,122650,23,16,1396
8497,122651,23,55,1435
8498,122652,15,37,937
8499,122653,20,30,1230
8500,122654,6,36,396
8501,122655,20,35,1235
8502,122658,14,46,886
8503,122659,20,52,1252
8504,122660,19,6,1146
8505,122661,17,40,1060
8506,122662,4,45,285
8507,122663,17,49,1069
8508,122664,4,56,296
8509,122665,13,27,807
8510,122666,20,45,1245
8511,122667,10,35,635
8512,122668,23,10,1390
8513,122669,22,55,1375
8514,122670,18,40,1120
8515,122671,12,23,743
8516,122672,23,25,1405
8517,122673,2,30,150
8518,122674,19,16,1156
8519,122675,17,45,1065
8520,122676,22,31,1351
8521,122677,5,27,327
8522,122678,16,1,961
8523,122679,20,26,1226
8524,122680,13,9,789
8525,122681,13,46,826
8526,122682,2,58,178
8527,122683,16,12,972
8528,122684,0,25,25
8529,122685,18,46,1126
8530,122686,18,32,1112
8531,122687,18,12,1092
8532,122688,6,38,398
8533,122689,15,59,959
8534,122690,19,20,1160
8535,122691,21,20,1280
8536,122692,18,32,1112
8537,122693,2,19,139
8538,122694,1,15,75
8539,122695,15,51,951
8540,122696,10,15,615
8541,122697,14,10,850
8542,122698,21,20,1280
8543,122699,10,35,635
8544,122700,18,10,1090
8545,122701,16,5,965
8546,122702,2,40,160
8547,122703,16,9,969
8548,122704,20,45,1245
8549,122705,20,28,1228
8550,122706,19,25,1165
8551,122707,19,55,1195
8552,122708,9,15,555
8553,122709,23,37,1417
8554,122710,14,6,846
8555,122711,9,20,560
8556,122712,10,26,626
8557,122713,23,8,1388
8558,122714,18,44,1124
8559,122715,7,53,473
8560,122716,16,19,979
8561,122717,23,40,1420
8562,122718,23,38,1418
8563,122719,15,28,928
8564,122720,22,17,1337
8565,122721,15,30,930
8566,122722,20,49,1249
8567,122723,3,52,232
8568,122724,12,20,740
8569,122725,19,55,1195
8570,122726,18,34,1114
8571,122727,0,45,45
8572,122728,10,10,610
8573,122729,1,42,102
8574,122730,9,45,585
8575,122731,17,39,1059
8576,122732,9,25,565
8577,122733,3,45,225
8578,122734,6,15,375
8579,122735,18,55,1135
8580,122736,19,0,1140
8581,122737,4,18,258
8582,122738,19,45,1185
8583,122739,22,24,1344
8584,122740,14,53,893
8585,122741,18,27,1107
8586,122742,20,50,1250
8587,122743,18,10,1090
8588,122744,0,3,3
8589,122745,1,35,95
8590,122746,15,15,915
8591,122747,15,55,955
8592,122748,20,24,1224
8593,122749,18,32,1112
8594,122750,8,3,483
8595,122751,18,38,1118
8596,122752,15,49,949
8597,122753,21,30,1290
8598,122754,18,40,1120
8599,122755,9,41,581
8600,122756,1,42,102
8601,122757,4,55,295
8602,122758,2,29,149
8603,122759,1,20,80
8604,122760,13,2,782
8605,122761,16,18,978
8606,122762,21,12,1272
8607,122763,2,12,132
8608,122764,6,28,388
8609,122765,3,9,189
8610,122766,11,3,663
8611,122767,23,22,1402
8612,122768,2,42,162
8613,122769,6,38,398
8614,122770,6,18,378
8615,122771,23,19,1399
8616,122772,2,42,162
8617,122773,14,25,865
8618,122774,23,48,1428
8619,122775,13,16,796
8620,122776,23,58,1438
